0,1,2,3,4,5,6,7,8,9,10,11,12,13,
"A","Dean","5","4","1","101","97","58","","1","1","18","6.25","33.67",
"N","Dean","3","3","1","53","50","24","","","1","6","6.36","26.50",
"J","Neal","8","8","1","184","307","58","","1","1","24","3.60","26.29",
"S","Wilson","6","3","1","50","60","29*","","","","7","5.00","25.00",
"P","Stimpson","7","7","2","94","245","21","","","","11","2.30","18.80",
"J","Barclay","7","7","2","93","224","31*","","","","10","2.49","18.60",
"S","Carnegie","1","1","0","18","29","18","","","","1","3.72","18.00",
"S","Underhay","5","3","2","17","24","14*","","","1","1","4.25","17.00",
"J","Curry","7","6","0","81","74","30","","","1","11","6.57","13.50",
"P","Orvis","5","4","0","38","77","14","","","","4","2.96","9.50",
"P","Stockton","8","8","0","54","138","13","","","","5","2.35","6.75",
"T","Page","8","4","0","19","54","12","","","","","2.11","4.75",
"P","Howard","2","2","0","9","30","8","","","","1","1.80","4.50",
"J","Williams","4","4","0","5","17","4","","","","1","1.76","1.25",
"S","Connor","5","4","0","2","16","1","","","","","0.75","0.50",
"B","Driver","8","3","1","0","14","0*","","","","","0.00","0.00",
"A","Storey","3","3","1","0","13","0*","","","","","0.00","0.00",
"D","Underhay","3","2","1","0","9","0*","","","","","0.00","0.00",
"M","Haslop","2","1","1","2","12","2*","","","","","1.00","----",
"J","Stimpson","1","1","1","0","","0*","","","","","----","----",
"A","Nair","1","0","","","","","","","","","----","----",
