"Bar Hill 2019"
"League"
"Bowling Averages"
""
"","Name","Mch","Ov","Mdn","Wkts","Runs","W","N B","Best","5-Wkt","Econ","S R","Av",
"M","Haslop","2","3.2","2","3","1","","","3--1","","0.30","6.67","0.33",
"S","Wilson","6","37","10","18","83","2","1","6--11","1","2.24","12.33","4.61",
"A","Nair","1","6","2","3","16","1","","3--16","","2.67","12.00","5.33",
"P","Orvis","5","35.4","5","10","70","7","1","5--16","1","1.96","21.40","7.00",
"A","Dean","5","21","7","6","44","3","","2--2","","2.10","21.00","7.33",
"J","Barclay","7","26","4","7","77","6","","3--9","","2.96","22.29","11.00",
"B","Driver","8","29.3","2","8","109","6","1","4--3","","3.69","22.13","13.63",
"J","Neal","8","14.5","1","4","60","8","","3--24","","4.05","22.25","15.00",
"N","Dean","3","4.2","1","1","18","1","","1--2","","4.15","26.00","18.00",
"S","Underhay","5","26","1","5","97","19","4","2--13","","3.73","31.20","19.40",
"T","Page","8","44","7","7","155","16","7","2--19","","3.52","37.71","22.14",
"","","","","","","","","","","","","","",
"Sort Criteria:  Average",,
"","","","","","","","","","","","","","",
