"Bar Hill 2019"
"Friendly/Midweek Friendly"
"Catches Summary"
""
"","Name","Ct","Wk Ct","Total",,
"J","Curry","","3","3",,
"T","Page","2","1","3",,
"S","Underhay","2","","2",,
"A","Curry","1","","1",,
"A","Dean","1","","1",,
"B","Driver","1","","1",,
"M","Haslop","1","","1",,
"P","Stimpson","1","","1",,
"D","Underhay","1","","1",,
"S","Wilson","1","","1",,
"S","Connor","1","","1",,
"N","Dean","","1","1",,
"A","Howard","1","","1",,
"J","Neal","1","","1",,
"S","Walton","1","","1",,
"","","","","",,
"Sort Criteria:  Catches",,
"","","","","",,
