0,1,2,3,4,5,6,7,8,9,10,11,
"S","Wilson","2","2","1","46","23*","","","1","5","46.00",
"J","Williams","3","3","2","18","8*","","","","","18.00",
"P","Orvis","2","2","0","33","33","","","","6","16.50",
"M","Haslop","3","3","0","36","19","","","","3","12.00",
"J","Barclay","2","2","0","21","14","","","","2","10.50",
"T","Page","4","4","1","31","13","","","","3","10.33",
"J","Colding","2","1","1","7","7*","","","","1","7.00",
"P","Stockton","1","1","0","6","6","","","","","6.00",
"B","Driver","2","1","1","5","5*","","","","1","5.00",
"A","Dean","1","1","1","5","5*","","","","","5.00",
"A","Curry","4","4","0","19","7","","","","1","4.75",
"J","Curry","4","4","0","19","17","","","","2","4.75",
"D","Underhay","3","2","0","9","9","","","","","4.50",
"S","Underhay","1","1","1","3","3*","","","","","3.00",
"S","Connor","2","2","0","2","2","","","","","1.00",
"J","Neal","2","2","0","2","2","","","","","1.00",
"A","Howard","2","1","0","1","1","","","","","1.00",
"P","Stimpson","1","1","0","1","1","","","","","1.00",
