"Bar Hill 2020"
"1st XI  League/Cup"
"Bowling Averages"
""
"","Name","Mch","Ov","Mdn","Wkts","Runs","W","N B","Best","5-Wkt","Econ","S R","Av",
"A","Dean","2","5.5","0","3","13","2","","2--4","","2.23","11.67","4.33",
"S","Wilson","2","16","3","7","33","3","","6--12","1","2.06","13.71","4.71",
"B","Driver","2","7","0","2","18","","","2--18","","2.57","21.00","9.00",
"S","Underhay","2","6","0","2","25","2","4","2--13","","4.17","18.00","12.50",
"P","Orvis","3","23","3","5","68","3","","3--15","","2.96","27.60","13.60",
"J","Neal","4","14","0","5","91","5","4","3--48","","6.50","16.80","18.20",
"T","Page","4","26","3","6","141","7","1","2--12","","5.42","26.00","23.50",
"T","Levitt","2","11","2","2","60","","1","1--6","","5.45","33.00","30.00",
"D","Underhay","3","3","0","1","34","2","","1--34","","11.33","18.00","34.00",
"J","Barclay","3","5","0","0","41","","","0--41","","8.20","-----","-----",
"M","Haslop","2","2","0","0","18","3","","0--18","","9.00","-----","-----",
"S","Connor","3","1","0","0","15","1","1","0--15","","15.00","-----","-----",
"","","","","","","","","","","","","","",
"Sort Criteria:  Average",,
"","","","","","","","","","","","","","",
