"Bar Hill 2020"
"Overall"
"Record Partnerships"
""
"Wkt","","","Score","","","","","Batsmen","","","","","Opposition",,
"1","","","39","","P","Stimpson","(19)","","J","Neal","(52)","","Longstowe",,
"","","","","","","","","","","","","","",,
"2","","","37","","P","Stockton","(7)","","J","Curry","(33)","","Girton",,
"","","","","","","","","","","","","","",,
"3","","","26","","J","Neal","(52)","","J","Barclay","(5)","","Longstowe",,
"","","","","","","","","","","","","","",,
"4","","","19","","J","Curry","(33)","","T","Page","(11)","","Girton",,
"","","","","","","","","","","","","","",,
"5","","","10","","J","Neal","(52)","","P","Orvis","(1)","","Longstowe",,
"","","","","","","","","","","","","","",,
"6","","","15","","N","Dean","(11)","","S","Connor","(2)","","Cam Kerala",,
"","","","","","","","","","","","","","",,
"7","","","12","","J","Neal","(52)","","T","Page","(0)","","Longstowe",,
"","","","","","","","","","","","","","",,
"8","","","12","","A","Curry","(16)","","G","Williams","(2)","","Elsworth",,
"","","","","","","","","","","","","","",,
"9","","","17","","T","Page","(11)","","D","Underhay","(3)","","Cambourne 3",,
"","","","","","","","","","","","","","",,
"10","","","29","","D","Underhay","(2*)","","W","Elsworth-Player","(11)","","Elsworth",,
"","","","","","","","","","","","","","",,
"","","","","","","","","","","","","","",,
"Qualification:  top partnerships",,
