"Bar Hill 2021"
"Midweek League/Midweek Cup/Midweek Friendly"
"Batting Averages"
""
"","Name","Mch","Inn","N O","Runs","H S","100s","50s","6s","4s","Av",
"C","Owens","4","4","3","39","19*","","","","","39.00",
"P","Orvis","1","1","0","29","29","","","","4","29.00",
"A","Curry","5","4","1","33","21*","","","","","11.00",
"J","Downing","1","1","0","9","9","","","","","9.00",
"T","Page","2","2","1","8","5*","","","","","8.00",
"J","Barclay","2","2","0","14","7","","","","","7.00",
"D","Norden","4","4","0","27","15","","","","4","6.75",
"S","Connor","5","4","1","12","5","","","","","4.00",
"J","Colding","2","1","0","4","4","","","","","4.00",
"J","Curry","5","5","0","17","5","","","","2","3.40",
"A","Underhay","5","5","0","16","7","","","","","3.20",
"D","Bennett","1","1","0","3","3","","","","","3.00",
"S","Wilson","1","1","0","2","2","","","","","2.00",
"D","Underhay","4","3","0","5","4","","","","","1.67",
"P","Stimpson","1","1","0","1","1","","","","","1.00",
"P","Stockton","1","1","0","1","1","","","","","1.00",
"T","Connor","3","2","1","0","0*","","","","","0.00",
"B","Driver","3","1","0","0","0","","","","","0.00",
"A","Dean","1","1","1","38","38*","","","1","4","----",
"J","Williams","3","0","","","","","","","","----",
"A","Howard","1","0","","","","","","","","----",
"","","","","","","","","","","","",
"Sort Criteria:  Average",,
