Rank,Player,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,HIGH SCORE NOT OUT,AVG,50s,100s
1,Henry Ormrod,5,5,2,182,102,Yes,60.67,0,1
2,Sujith Kidangoor,11,11,2,313,98,Yes,34.78,2,0
3,Jeemon Vazhappilly,13,12,2,306,67,Yes,30.6,3,0
4,James Neal,13,13,0,369,80,No,28.38,2,0
5,Seth Coode,8,6,5,22,18,Yes,22,0,0
6,Jacob Marshall-Grint,11,11,1,217,43,No,21.7,0,0
7,Alexander Johnsen,7,7,0,136,61,No,19.43,1,0
8,Adam Dean,2,2,0,33,24,No,16.5,0,0
9,Tom Linford-Wood,7,7,0,114,33,No,16.29,0,0
10,Febin Jamal,1,1,0,16,16,No,16,0,0
11,Phillip Orvis,15,14,2,133,25,No,11.08,0,0
12,Vipul Bisht,6,4,0,44,29,No,11,0,0
13,Jacob Curry,9,8,1,54,28,No,7.71,0,0
14,Varun Dunga,8,7,1,44,14,No,7.33,0,0
15,Paul Stimpson,9,9,0,47,17,No,5.22,0,0
16,Peter Stockton,4,3,1,8,6,No,4,0,0
17,Martin Haslop,3,2,0,7,6,No,3.5,0,0
18,Tom Page,2,2,2,3,3,Yes,3,0,0
19,STUART WOOLF,7,3,1,1,1,Yes,0.5,0,0
20,Barry Driver,13,6,1,1,1,No,0.2,0,0
21,Ashley Curry,1,0,0,0,,,-,0,0
22,Jordan Howse,1,0,0,0,,,-,0,0
