Rank,Player,OVERS,MAIDENS,RUNS,WICKETS,BEST BOWLING,5 WICKET HAUL,ECONOMY RATE,STRIKE RATE,AVERAGE
1,Febin Jamal,6,0,28,2,2/28,0,4.67,18,14
2,Jacob Marshall-Grint,42,3,227,13,4/18,0,5.4,19.38,17.46
3,Henry Ormrod,32,2,131,6,3/25,0,4.09,32,21.83
4,Jeemon Vazhappilly,84.4,6,439,18,4/22,0,5.19,28.22,24.39
5,Sujith Kidangoor,61,2,282,11,2/10,0,4.62,33.27,25.64
6,Phillip Orvis,107,14,441,16,3/27,0,4.12,40.13,27.56
7,Tom Linford-Wood,19,1,95,3,2/34,0,5,38,31.67
8,Barry Driver,63,0,416,13,3/24,0,6.6,29.08,32
9,Alexander Johnsen,29.1,2,169,4,2/58,0,5.79,43.75,42.25
10,James Neal,57,4,269,5,2/23,0,4.72,68.4,53.8
11,Jacob Curry,2,0,13,0,0/13,0,6.5,-,-
12,Adam Dean,8,0,54,0,0/54,0,6.75,-,-
13,Varun Dunga,10.2,0,87,0,0/2,0,8.42,-,-
