"Bar Hill 1989-2020"
"League/Cup/Twenty/20 Cup"
"Catches Summary"
""
"","Name","Mch","Ct","Wk Ct","Total",,
"D","Cullum","210","15","131","146",,
"P","Walmsley","148","72","","72",,
"M","Thompson","204","51","19","70",,
"P","Harrowing","109","52","","52",,
"D","Fletcher","138","25","25","50",,
"N","Dunwoody","90","50","","50",,
"S","English","77","50","","50",,
"D","Sandham","205","49","","49",,
"C","Driver","104","37","12","49",,
"P","Lemon","154","46","","46",,
"P","Stimpson","172","33","12","45",,
"M","Haslop","187","44","","44",,
"M","Cullum","168","43","","43",,
"A","Dean","132","41","2","43",,
"M","Pope","64","39","3","42",,
"S","Williams","111","37","","37",,
"A","Kent","63","36","","36",,
"N","Dean","108","28","6","34",,
"P","Howard","87","16","18","34",,
"M","Nunn","70","33","1","34",,
"S","Clare","67","33","1","34",,
"J","Steele","74","24","9","33",,
"P","Pelling","98","30","1","31",,
"S","Lambert","124","30","","30",,
"D","Rush","78","30","","30",,
"B","Cundy","57","30","","30",,
"S","Stanford","118","28","1","29",,
"J","Neal","87","27","2","29",,
"S","Wilson","140","28","","28",,
"C","Lemon","58","28","","28",,
"G","Micher","48","28","","28",,
"T","Levitt","85","27","","27",,
"D","Hall","60","14","11","25",,
"C","Tabbitt","37","25","","25",,
"T","Page","93","24","","24",,
"P","Perera","56","24","","24",,
"P","Dickinson","50","23","1","24",,
"T","Yewbrey","46","24","","24",,
"S","Holt","85","23","","23",,
"D","Gailliez","73","23","","23",,
"P","Orvis","88","21","","21",,
"J","Cotton","78","21","","21",,
"D","Cornwell","50","20","","20",,
"J","Hinchliffe","21","20","","20",,
"A","Stearn","16","20","","20",,
"B","Driver","126","19","","19",,
"P","Stockton","77","19","","19",,
"V","Neal","26","18","1","19",,
"R","Page","164","18","","18",,
"C","Howse","42","14","4","18",,
"J","Fuller","42","16","1","17",,
"SE","Smith","137","16","","16",,
"J","Simpson","48","16","","16",,
"L","Peters","38","16","","16",,
"C","Jones","17","13","","13",,
"D","Underhay","92","12","","12",,
"J","Baddeley","42","12","","12",,
"J","Turney","25","12","","12",,
"F","Ducker","9","12","","12",,
"T","Moffat","51","11","","11",,
"J","Curry","28","4","7","11",,
"A","Ingrey","26","11","","11",,
"A","Birley","17","11","","11",,
"P","Smith","14","11","","11",,
"G","Hinchliffe","26","10","","10",,
"G","Walker","17","","10","10",,
"D","Allsopp","31","8","1","9",,
"K","Jackson","25","9","","9",,
"M","Iqbal","18","9","","9",,
"A","Jolley","24","","8","8",,
"E","Hard","15","8","","8",,
"J","Barber","36","7","","7",,
"P","Sistig","24","7","","7",,
"J","Orvis","15","7","","7",,
"A","Nevin","8","7","","7",,
"G","Bye","35","6","","6",,
"I","McGrory","24","6","","6",,
"G","Fuller","1","6","","6",,
"M","Freeman","22","2","3","5",,
"I","Basser","20","3","2","5",,
"A","Afaal","15","5","","5",,
"A","Matthews","11","5","","5",,
"G","Hall","7","5","","5",,
"S","Plumb","39","4","","4",,
"I","Dunk","29","4","","4",,
"A","Ralph","26","4","","4",,
"C","Scott","13","4","","4",,
"B","Thapa","13","4","","4",,
"M","Cundy","12","4","","4",,
"C","Waldron","8","4","","4",,
"J","Fallon","6","","4","4",,
"S","Underhay","27","3","","3",,
"S","Prosser","23","3","","3",,
"R","Sweeney","17","3","","3",,
"R","Dean","14","3","","3",,
"I","Blake","8","3","","3",,
"A","Buller","7","","3","3",,
"L","Bridgewater","6","3","","3",,
"A","Peck","5","3","","3",,
"K","Unwin","1","3","","3",,
"N","Suckling","47","2","","2",,
"P","Sandford","26","2","","2",,
"A","Curry","15","2","","2",,
"A","Howard","14","2","","2",,
"R","Stevens","13","2","","2",,
"R","Burgess","11","2","","2",,
"N","Paxton","11","2","","2",,
"D","Harrower","9","2","","2",,
"A","Rafiq","9","2","","2",,
"S","Baker","8","2","","2",,
"J","Williams","7","2","","2",,
"L","Barber","6","2","","2",,
"M","Neale","6","2","","2",,
"N","Scott","6","1","1","2",,
"M","Swanser","6","2","","2",,
"J","Burns","4","2","","2",,
"M","Stevens","4","2","","2",,
"N","Fairley","3","2","","2",,
"J","Human","3","2","","2",,
"I","Harrison","2","2","","2",,
"J","Sobey","2","2","","2",,
"T","Young","2","2","","2",,
"K","York","1","2","","2",,
"J","Barclay","16","1","","1",,
"S","Martensz","16","1","","1",,
"J","Colding","13","1","","1",,
"D","Dyson","8","1","","1",,
"N","Warner","8","1","","1",,
"T","Peck","6","1","","1",,
"B","Burrage","5","1","","1",,
"B","Dugan","5","1","","1",,
"S","Marston","5","1","","1",,
"C","Burns","4","1","","1",,
"M","Goddard","4","","1","1",,
"J","Harris","4","1","","1",,
"JJ","Wilkins","4","1","","1",,
"C","Munday","2","1","","1",,
"M","Natarajan","2","1","","1",,
"W","Rowland","2","1","","1",,
"W","Stock","2","1","","1",,
"J","Bowland","1","","1","1",,
"R","Bragg","1","1","","1",,
"T","Bryant","1","1","","1",,
"I","Curtis","1","1","","1",,
"C","Lewney","1","1","","1",,
"AN","Other","1","1","","1",,
"A","Richardson","1","1","","1",,
"R","Swanser","1","1","","1",,
"P","While","1","1","","1",,
"R","Moffat","0","1","","1",,
"R","Webb","0","1","","1",,
"","","","","","",,
"Sort Criteria:  Catches",,
