Rank,Player,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,High Score Not Out,AVG,50s,100s,,
0,S Stanford,118,111,11,2630,183,No,26.30,12,3,,
0,D Sandham,205,201,11,2614,88,Yes,13.76,5,,,
0,D Fletcher,138,127,44,2504,74,Yes,30.17,8,,,
0,P Walmsley,148,123,35,2442,93,Yes,27.75,8,,,
0,P Stimpson,211,193,19,2431,78,No,13.97,8,,,
0,A Dean,149,116,20,2241,122,Yes,23.34,8,3,,
0,J Neal,121,108,9,1998,77,No,20.18,9,,,
0,S Clare,67,66,11,1841,108,No,33.47,11,1,,
0,C Driver,104,93,11,1643,121,No,20.04,7,1,,
0,P Orvis,123,108,16,1634,90,Yes,17.76,4,,,
0,M Thompson,204,188,18,1593,47,No,9.37,,,,
0,S English,83,79,10,1579,87,Yes,22.88,7,,,
0,M Cullum,169,151,22,1573,55,No,12.19,2,,,
0,M Haslop,222,185,36,1540,69,No,10.34,3,,,
0,N Dean,109,95,10,1467,74,No,17.26,3,,,
0,D Gailliez,76,76,4,1466,84,No,20.36,9,,,
0,P Harrowing,112,106,5,1423,54,No,14.09,2,,,
0,N Dunwoody,94,93,12,1367,55,Yes,16.88,2,,,
0,S Lambert,124,106,18,1289,63,Yes,14.65,5,,,
0,P Lemon,154,125,18,1206,57,No,11.27,1,,,
0,P Pelling,98,89,6,1198,75,No,14.43,4,,,
0,D Cullum,210,159,43,1109,37,Yes,9.56,,,,
0,S Williams,111,103,14,1095,50,Yes,12.30,1,,,
0,B Cundy,58,55,9,1078,78,No,23.43,5,,,
0,J Fuller,53,50,13,1070,96,No,28.92,6,,,
0,P Howard,87,82,4,1049,101,Yes,13.45,3,1,,
0,J Steele,74,69,4,1034,75,No,15.91,4,,,
0,J Baddeley,42,42,5,1012,83,No,27.35,7,,,
